ID,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
14376,Jul,1,Saturday,Chevrolet,Urban,Thursday,Jul,4,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,14377,1,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Collision
6033,Nov,5,Tuesday,Honda,Urban,Wednesday,Nov,5,Male,Married,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6034,3,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
11644,Oct,2,Thursday,Honda,Urban,Thursday,Dec,5,Male,Married,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11645,1,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,3 to 4,1996,Collision
13780,Jan,4,Monday,Chevrolet,Urban,Monday,Jan,5,Female,Married,29,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,13781,15,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
11700,Oct,4,Wednesday,Pontiac,Urban,Wednesday,Nov,1,Male,Married,43,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,11701,15,400,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils
4571,Dec,2,Monday,Pontiac,Urban,Tuesday,Dec,2,Male,Married,43,Third Party,Sedan - Liability,Sport,30000 to 39000,0,4572,16,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
6503,Oct,1,Tuesday,Saab,Urban,Tuesday,Oct,1,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6504,15,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
10511,Feb,3,Saturday,Mazda,Urban,Monday,Feb,3,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,10512,8,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
12131,Feb,3,Wednesday,Pontiac,Urban,Wednesday,Mar,1,Male,Married,52,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12132,8,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Collision
7982,Dec,1,Thursday,Pontiac,Urban,Tuesday,Dec,3,Male,Single,25,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,7983,5,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1995,Liability
12531,Jun,1,Friday,Pontiac,Urban,Tuesday,Jun,2,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12532,11,400,3,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision
3553,Sep,3,Saturday,Ford,Urban,Tuesday,Sep,3,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,3554,11,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
5457,Aug,1,Tuesday,Saab,Urban,Friday,Aug,1,Male,Single,26,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,5458,4,400,3,more than 30,more than 30,none,5 years,31 to 35,No,No,External,1 to 2,2 to 3 years,1 vehicle,1994,Collision
7969,Sep,3,Sunday,Pontiac,Urban,Monday,Sep,3,Male,Married,55,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,7970,3,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability
12805,Sep,3,Thursday,Mazda,Urban,Wednesday,Oct,1,Male,Single,42,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,12806,2,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision
8326,Oct,1,Monday,Honda,Urban,Tuesday,Oct,1,Male,Single,26,Third Party,Sedan - Liability,Sport,30000 to 39000,0,8327,14,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability
10032,Apr,1,Friday,Mazda,Urban,Friday,Apr,4,Female,Married,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,10033,5,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability
7704,Jul,1,Monday,Chevrolet,Urban,Monday,Jul,1,Female,Single,37,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7705,9,400,4,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability
3397,Feb,1,Wednesday,Pontiac,Rural,Wednesday,Feb,1,Male,Married,61,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3398,15,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
10935,Jun,1,Friday,Accura,Urban,Friday,Jun,1,Male,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,10936,3,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability
13447,Jul,2,Monday,Toyota,Urban,Wednesday,Jul,2,Male,Married,46,Policy Holder,Sedan - Liability,Sport,30000 to 39000,1,13448,1,400,1,more than 30,15 to 30,none,more than 7,41 to 50,Yes,No,External,none,no change,1 vehicle,1996,Liability
7441,Dec,5,Thursday,Honda,Urban,Tuesday,Jan,2,Male,Married,31,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,7442,10,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils
384,Oct,5,Friday,Honda,Urban,Monday,Nov,2,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,385,7,400,4,1 to 7,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
4258,Sep,4,Wednesday,Honda,Urban,Monday,Sep,4,Male,Married,45,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4259,16,400,4,more than 30,more than 30,1,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
8360,Nov,1,Wednesday,Accura,Urban,Thursday,Nov,1,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8361,7,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision
3198,May,1,Friday,Pontiac,Urban,Friday,May,1,Male,Married,72,Third Party,Sedan - All Perils,Sedan,less than 20000,0,3199,8,400,4,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,3 to 5,no change,3 to 4,1994,All Perils
251,Jan,3,Monday,Pontiac,Urban,Tuesday,Jan,4,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,252,10,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
10785,Jun,4,Tuesday,Ford,Urban,Wednesday,Feb,2,Male,Married,54,Third Party,Sedan - Collision,Sedan,40000 to 59000,0,10786,6,400,1,more than 30,more than 30,more than 4,more than 7,41 to 50,Yes,No,External,3 to 5,no change,1 vehicle,1995,Collision
11173,Sep,2,Friday,Honda,Urban,Wednesday,Sep,3,Male,Single,63,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,11174,2,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
11940,Dec,5,Saturday,Honda,Urban,Thursday,Jan,4,Male,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11941,5,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability
11302,Apr,4,Sunday,Pontiac,Urban,Tuesday,Apr,4,Male,Single,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11303,11,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
7150,Jul,5,Saturday,Ford,Urban,Thursday,Aug,1,Female,Married,31,Third Party,Sedan - Liability,Sport,30000 to 39000,0,7151,12,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability
9775,Apr,3,Sunday,Saab,Urban,Thursday,May,1,Male,Single,26,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9776,7,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
6412,Apr,4,Thursday,Pontiac,Urban,Monday,May,1,Male,Married,51,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,6413,8,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
5548,Aug,1,Saturday,Pontiac,Urban,Thursday,Aug,2,Female,Married,35,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,5549,7,400,4,more than 30,more than 30,1,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
14459,Oct,5,Saturday,Ford,Urban,Monday,Nov,1,Male,Married,62,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,14460,3,400,2,more than 30,more than 30,none,7 years,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
15275,Jul,3,Wednesday,Toyota,Urban,Wednesday,Aug,1,Male,Married,52,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,15276,8,400,1,more than 30,more than 30,none,6 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils
26,Mar,3,Thursday,Honda,Urban,Thursday,Jun,4,Male,Married,21,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,27,1,400,2,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision
4915,May,3,Wednesday,Pontiac,Urban,Tuesday,May,5,Male,Married,32,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4916,11,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
9987,Dec,3,Friday,Ford,Urban,Monday,Dec,3,Male,Single,26,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9988,15,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
1814,Sep,1,Tuesday,Chevrolet,Urban,Wednesday,Sep,3,Male,Married,33,Third Party,Sedan - All Perils,Sedan,more than 69000,0,1815,1,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
7989,Feb,2,Tuesday,Honda,Urban,Tuesday,Apr,2,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,7990,5,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1995,All Perils
5808,Nov,1,Wednesday,Toyota,Urban,Thursday,Nov,1,Male,Single,27,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,5809,3,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
14614,Aug,2,Monday,Toyota,Urban,Tuesday,Aug,2,Male,Single,28,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,14615,8,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision
8101,Aug,1,Wednesday,Pontiac,Urban,Friday,Aug,1,Male,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8102,3,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
5183,Oct,3,Saturday,Mazda,Urban,Wednesday,Feb,3,Male,Married,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5184,8,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
2939,Jan,3,Wednesday,Accura,Urban,Wednesday,Jan,3,Male,Single,52,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,2940,5,400,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
3202,Oct,3,Saturday,Pontiac,Urban,Monday,Oct,3,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3203,16,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
872,Dec,4,Tuesday,Mazda,Urban,Tuesday,Dec,4,Male,Married,64,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,873,13,400,1,more than 30,more than 30,more than 4,7 years,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
15220,Oct,4,Thursday,Toyota,Urban,Friday,Oct,4,Female,Married,54,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,15221,6,400,2,more than 30,more than 30,1,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision
14669,Sep,3,Tuesday,VW,Rural,Thursday,Oct,1,Male,Married,61,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,14670,5,400,4,more than 30,more than 30,none,6 years,51 to 65,No,No,External,none,no change,1 vehicle,1996,All Perils
12647,Sep,4,Sunday,Pontiac,Urban,Monday,Sep,4,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12648,11,400,3,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision
1986,Mar,4,Wednesday,Pontiac,Rural,Monday,Mar,4,Male,Married,76,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1987,3,400,4,more than 30,more than 30,none,more than 7,over 65,No,Yes,External,1 to 2,no change,1 vehicle,1994,All Perils
11095,Dec,1,Sunday,Toyota,Urban,Monday,Dec,1,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,11096,16,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
14310,Oct,3,Sunday,Pontiac,Urban,Monday,Oct,3,Female,Married,27,Third Party,Sedan - Collision,Sedan,less than 20000,0,14311,14,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
10272,Jun,1,Sunday,Pontiac,Urban,Tuesday,Jun,2,Male,Single,28,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,10273,14,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
11006,Nov,5,Wednesday,Pontiac,Urban,Wednesday,Nov,5,Male,Married,51,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11007,12,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,Yes,No,External,more than 5,no change,1 vehicle,1995,Liability
5507,Dec,3,Thursday,Pontiac,Urban,Friday,Dec,3,Male,Married,46,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,5508,6,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
13637,Apr,4,Monday,Toyota,Urban,Monday,May,2,Male,Single,26,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,13638,3,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Liability
1990,Jan,3,Saturday,Honda,Urban,Monday,Jan,3,Male,Single,29,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1991,5,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
5733,May,1,Saturday,Mazda,Urban,Tuesday,May,2,Male,Married,51,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,5734,2,400,4,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,1 year,2 vehicles,1994,All Perils
9614,Dec,1,Sunday,Honda,Urban,Tuesday,Dec,2,Male,Married,43,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9615,11,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
10624,Mar,2,Tuesday,Mazda,Urban,Saturday,Mar,2,Male,Married,43,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,10625,15,400,4,more than 30,more than 30,1,5 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
2662,Oct,4,Monday,Pontiac,Urban,Tuesday,Oct,4,Male,Single,21,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,2663,6,400,1,more than 30,more than 30,none,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,All Perils
9345,Jul,2,Monday,Honda,Urban,Monday,Jul,2,Male,Married,32,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9346,6,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1995,All Perils
12233,Sep,4,Saturday,Chevrolet,Urban,Monday,Oct,2,Male,Single,24,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12234,16,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,Internal,none,no change,1 vehicle,1996,Liability
468,Feb,1,Saturday,Accura,Urban,Monday,Feb,2,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,469,1,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
9802,Sep,1,Monday,Toyota,Urban,Monday,Sep,1,Male,Married,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9803,10,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
14634,Dec,4,Saturday,Toyota,Rural,Tuesday,Dec,4,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,14635,16,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils
11558,May,2,Friday,Toyota,Urban,Tuesday,May,3,Male,Married,48,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,11559,15,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils
13760,May,2,Wednesday,Ford,Urban,Friday,May,2,Male,Married,53,Third Party,Sedan - All Perils,Sedan,60000 to 69000,0,13761,15,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,All Perils
2213,Mar,1,Saturday,Pontiac,Urban,Wednesday,Mar,2,Male,Married,30,Third Party,Sedan - Liability,Sport,30000 to 39000,0,2214,12,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
9395,Oct,1,Tuesday,Pontiac,Urban,Monday,Oct,2,Female,Married,22,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9396,15,400,1,more than 30,more than 30,2 to 4,2 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
7896,Sep,4,Saturday,Honda,Urban,Monday,Sep,4,Male,Married,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7897,3,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,4 to 8 years,2 vehicles,1995,Liability
567,Oct,1,Sunday,Toyota,Urban,Tuesday,Oct,4,Male,Married,80,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,568,9,400,2,more than 30,more than 30,none,more than 7,over 65,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,All Perils
12625,May,2,Tuesday,Chevrolet,Urban,Thursday,May,2,Male,Single,33,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12626,12,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
6410,Feb,2,Monday,Pontiac,Urban,Monday,Feb,2,Male,Married,47,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6411,12,400,1,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability
128,Jan,4,Sunday,Chevrolet,Rural,Monday,Jan,4,Male,Married,27,Third Party,Sedan - Liability,Sport,30000 to 39000,0,129,9,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,Yes,External,none,no change,1 vehicle,1994,Liability
2970,Dec,2,Monday,Honda,Urban,Tuesday,Dec,2,Male,Single,77,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2971,11,400,2,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Liability
10200,Jun,3,Thursday,Toyota,Urban,Thursday,Jun,3,Female,Married,53,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,10201,6,500,4,more than 30,more than 30,more than 4,6 years,41 to 50,No,No,External,more than 5,2 to 3 years,1 vehicle,1995,Liability
957,Jun,3,Friday,Ford,Urban,Thursday,Jun,4,Male,Married,49,Third Party,Sedan - Collision,Sedan,60000 to 69000,0,958,3,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
2904,Aug,1,Friday,Pontiac,Urban,Tuesday,Aug,2,Female,Single,31,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2905,16,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
1539,Apr,4,Saturday,Toyota,Urban,Tuesday,May,1,Male,Single,25,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1540,10,400,4,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
10384,Feb,4,Sunday,Honda,Urban,Wednesday,Mar,1,Male,Single,18,Policy Holder,Sport - Collision,Sport,more than 69000,1,10385,11,400,2,more than 30,more than 30,2 to 4,5 years,21 to 25,No,No,External,none,no change,1 vehicle,1995,Collision
4371,Aug,3,Saturday,Pontiac,Urban,Monday,Aug,4,Male,Married,31,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4372,3,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
